season,county,A,B,U,ttl,pop
2017-2018,Montgomery,411,300,.,711,854994.0
2017-2018,Montour,3916,2436,71,6423,16977.0
2017-2018,Northampton,172,71,.,243,316862.0
2017-2018,Northumberland,3198,2415,1,5614,92861.0
2017-2018,Perry,488,207,.,695,45111.0
2017-2018,Philadelphia,306,153,.,459,1421328.0
2017-2018,Pike,2781,1634,3,4418,80765.0
2017-2018,Potter,108,66,.,174,17641.0
2017-2018,Schuylkill,229,221,.,450,146457.0
2017-2018,Snyder,792,395,1,1188,39025.0
2017-2018,Somerset,248,106,.,354,77149.0
2017-2018,Sullivan,424,107,20,551,6313.0
2017-2018,Susquehanna,12,3,.,15,61630.0
2017-2018,Tioga,121,46,.,167,39772.0
2017-2018,Union,158,87,.,245,50018.0
2017-2018,Venango,501,162,1,664,52844.0
2017-2018,Warren,172,72,.,244,35723.0
2017-2018,Washington,385,290,.,675,211288.0
2017-2018,Wayne,1916,523,2,2441,60607.0
2017-2018,Westmoreland,636,461,.,1097,380748.0
2017-2018,Wyoming,2778,796,10,3584,24010.0
2017-2018,York,131,70,.,201,450887.0
2017-2018,All,3302,1155,19,4476,
2017-2018,Total,80020,40426,1584,122030,
2019-20,Adams,179,173,4,356,109237.0
2019-20,Allegheny,762,1272,.,2034,1169207.0
2019-20,Armstrong,6247,6375,1269,13891,66054.0
2019-20,Beaver,350,362,.,712,158212.0
2019-20,Bedford,1192,1477,259,2928,51751.0
2019-20,Berks,186,425,.,611,450718.0
2019-20,Blair,1586,2709,3,4298,114559.0
2019-20,Bradford,588,1064,.,1652,59359.0
2019-20,Bucks,623,701,.,1324,673124.0
2019-20,Butler,2055,1549,.,3604,206380.0
2019-20,Cambria,668,635,.,1303,132810.0
2019-20,Cameron,720,1070,.,1790,5569.0
2019-20,Carbon,14,31,.,45,66843.0
2019-20,Centre,436,292,.,728,156620.0
2019-20,Chester,880,1367,.,2247,604385.0
2019-20,Clarion,2072,1694,4,3770,38726.0
2019-20,Clearfield,109,118,.,227,81487.0
2019-20,Clinton,649,634,.,1283,33669.0
2019-20,Columbia,193,201,.,394,67053.0
2019-20,Crawford,137,155,.,292,89515.0
2019-20,Cumberland,663,941,.,1604,258880.0
2019-20,Dauphin,1129,1534,1,2664,262550.0
2019-20,Delaware,1544,1839,1,3384,566788.0
2019-20,Elk,2979,2255,33,5267,28909.0
2019-20,Erie,274,444,.,718,275355.0
2019-20,Fayette,2260,2290,.,4550,139362.0
2019-20,Forest,737,889,.,1626,7579.0
2019-20,Franklin,6,3,.,9,141656.0
2019-20,Fulton,567,421,.,988,16603.0
2019-20,Greene,179,192,.,371,40018.0
2019-20,Huntingdon,248,316,.,564,47974.0
2019-20,Indiana,309,383,.,692,72876.0
2019-20,Jefferson,392,498,.,890,43775.0
2019-20,Juniata,286,410,.,696,24798.0
2019-20,Lackawanna,98,47,.,145,199310.0
